Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution offer at least one sustainability-focused major, degree program, or the ...","The name of the sustainability-focused, undergraduate degree program (1st program)",A brief description of the undergraduate degree program (1st program),The website URL for the undergraduate degree program (1st program),"The name of the sustainability-focused, undergraduate degree program (2nd program)",A brief description of the undergraduate degree program (2nd program),The website URL for the undergraduate degree program (2nd program),"The name of the sustainability-focused, undergraduate degree program (3rd program)",A brief description of the undergraduate degree program (3rd program),The website URL for the undergraduate degree program (3rd program),"The name and website URLs of all other sustainability-focused, undergraduate degree program(s)","Does the institution offer one or more sustainability-focused minors, concentrations or ...","The name of the sustainability-focused undergraduate minor, concentration or certificate (1st ...","A brief description of the undergraduate minor, concentration or certificate (1st program)","The website URL for the undergraduate minor, concentration or certificate (1st program)","The name of the sustainability-focused undergraduate minor, concentration or certificate (2nd ...","A brief description of the undergraduate minor, concentration or certificate (2nd program)","The website URL for the undergraduate minor, concentration or certificate (2nd program)","The name of the sustainability-focused undergraduate minor, concentration or certificate (3rd ...","A brief description of the undergraduate minor, concentration or certificate (3rd program)","The website URL for the undergraduate minor, concentration or certificate (3rd program)","The name, brief description and URL of all other undergraduate-level sustainability-focused minors, ...",Public Notes
Texas Tech University,2016-03-25,2016-03-25 15:47:37,carey.hewett@ttu.edu,2.0,Pursuing,True,Natural Resources Management,"The Department of Natural Resources Management is primarily concerned with the application of basic ecological principles to the management and use of natural resources. The curriculum for natural resources management prepares students for graduate school. The range management and wildlife biology tracks meet the Civil Service or certification requirements for positions as range conservationists or wildlife biologists for agencies such as the U.S. Fish and Wildlife Service, Natural Resource Conservation Service, Forest Service, and Bureau of Land Management. ",http://www.depts.ttu.edu/nrm/,Wind Energy,"The Bachelor of Science in Wind Energy prepares students for a career in all segments of the industry by offering courses on multiple aspects of the industry, from education on the characteristics of wind to instruction on project development and management. The versatile multidisciplinary nature of the degree plan makes Texas Tech's wind energy program unique. ",http://www.depts.ttu.edu/nwi/education/bs-program.php,--,,--,,True,Undergraduate Certificate in Wind Energy,The Undergraduate Certificate in Wind Energy is designed to give students a background in this growing field so that they can become valuable members of an important growing community dedicated to building a cleaner future.,http://www.depts.ttu.edu/nwi/education/bs-program.php,--,,--,--,,--,,--
The Ohio State University,2016-01-26,2016-01-26 15:46:56,dial.15@osu.edu,2.0,Pursuing,True,"Environment, Economy, Development & Sustainability (EEDS)","The EEDS major is a multi-disciplinary degree program that focuses on the human dimensions of sustainability. This cutting-edge major provides the core knowledge and skills students need to launch a career in sustainability in the private, public or non-profit sectors. All EEDS students take an integrated set of coursework in environmental economics, business management, environmental sociology, community and international development, ecological engineering and environmental sciences. Students build on this foundation by choosing to specialize in one of four areas: Sustainability and Business, Environmental Economics and Policy Analysis, Community Development or International Development. EEDS is a joint program between Ohio State’s School of Environment and Natural Resources (SENR) and the Department of Agricultural, Environmental, and Developmental Economics.",http://eeds.osu.edu/,Environmental Engineering,"Environmental Engineers work with government, industry and private groups to design and implement projects to improve the environment and public health. Environmental engineers are technical leaders in sustainable development and the design of projects to protect our water, land and air resources, applying their skills to the design of drinking water treatment plants, air pollution control systems, ecological restoration, and brownfield cleanups, to name just a few. Environmental engineers use their knowledge and expertise to tackle regional and global issues, such as climate change, ozone depletion and acid rain. Environmental engineers design and build technologies to control pollution, as well as work with industry and government to redesign processes to reduce the generation of pollution and conserve material and energy resources.",https://ceg.osu.edu/environmental-engineering,"Forestry, Fisheries and Wildlife","The Forestry, Fisheries, and Wildlife (FFW) major uses basic biology to create sustainable solutions for ecosystems, habitats, and plant and animal species that are affected by human use of the environment. Forestry, wildlife, and aquatic specialists address the biological, economic, and social aspects of managing forest lands, freshwater and coastal ecosystems, and fish and wildlife, and look for ways to incorporate landscape restoration and habitat conservation into their practices. The FFW major provides coursework that is required for certification by the following professional societies: the Wildlife Society, Society of American Foresters, and the American Fisheries Society.",http://senr.osu.edu/undergraduate/majors/forestry-fisheries-and-wildlife,,True,"Environmental, Economy, Development and Sustainability (EEDS)","The EEDS minor offers students a multi-disciplinary program that focuses on the human, economic and environmental dimensions of sustainability – often referred to as people, planet and profit. Through enrollment in the EEDS minor, students learn sustainability concepts to complement their work in their major program of study. EEDS is a joint program between Ohio State’s School of Environment and Natural Resources (SENR) and AEDE. Students enrolled in the minor take classes with faculty working in both areas.",http://aede.osu.edu/undergraduate/minors,Farm Management,"The Farm Management minor provides students with an understanding of business management concepts important for effective farm-level decision-making and an opportunity to develop an array of skills needed to manage production, finance, marketing, and human resources.",http://aede.osu.edu/undergraduate/minors,Environmental Economics,"The Environmental Economics minor provides students with an understanding of the application of economic principles to contemporary natural resource and environmental processes, problems, and policies. Relevant complementary principles in ecology, hydrology and thermodynamics are also emphasized. Students acquire a solid foundation in the theories and methods of natural resource economics and benefit-cost analysis for addressing issues such as soil and water conservation, pollution control policy, land use, environmental benefit estimation, and management of natural systems.",http://aede.osu.edu/undergraduate/minors,,--
Tufts University,2016-02-25,2016-02-25 15:40:31,tina.woolston@tufts.edu,2.0,Pursuing,True,Environmental Studies Program,"Founded in 1984, Tufts' Environmental Studies Program (ENVS) was one of the first multidisciplinary environmental programs in the United States. Students and alumni of the program have become effective practitioners and advocates for the environment in medicine, law, finance, industry, government, and other academic fields.

Environmental Studies is offered as a dual major in conjunction with any departmental major in the School of Arts and Sciences and the School of Engineering—normally excluding interdisciplinary programs. This dual-major program combines the depth of a major in a specific field with a wide breadth of environmentally oriented courses. Students who major in Environmental Studies must register with the director and are placed in one of the tracks—each of which has its own advisor.

The Environmental Studies major requires the completion of five core courses, plus five courses in any one track, and an internship. The core curriculum requires students to master basic scientific principles of environmental processes, to examine interactions between technology and the environment, and to explore the societal context for implementing environmental policy. We recommend that students begin the major by taking Environmental Biology (Bio7/Env7) early on, to get to know the program.

In addition to the new core courses, students are required to take five courses in their program track. The program tracks include:

Track I: Environmental Science focuses on science and the tools necessary to detect, evaluate, and solve environmental problems (basic principles, theories, and methods in biology, chemistry, Earth and ocean sciences, and physics).

Track II: Sustainability, Policy, and Equity focuses on human development policies and practices that can have both positive and negative effects on the natural ecosystem and human well-being, both now and in the future.

Track III: Environmental Communication will require students to have knowledge of natural sciences, social sciences, and the arts and humanities to effectively communicate complex environmental issues to diverse audiences.

Track IV: Food Systems, Nutrition and the Environment focuses on the importance of sustainable food production systems and critical issues of access to high quality food.

Track V: Self-Designed with Advisor is intended to allow students to design their own environmental focus in coordination with an Environmental Studies Advisor. An example of this track might be a student who coordinates with Environmental Studies' engineering and political science faculty to select a series of courses that fit within the requirements of the major on the topic of energy and public policy.",http://as.tufts.edu/environmentalStudies/default.aspx,Bachelor of Science in Environmental Engineering,"The goals of the BSEVE (Bachelor of Science in Environmental Engineering) program are to develop a broad understanding of environmental engineering, its relationship to the physical, chemical, health, and earth sciences, and its interaction with the humanities, arts, and social sciences. The comprehensive view of environmental engineering comprising the program includes treatment; health, safety, and risk assessment; pollution prevention; modeling and simulation of environmental systems; and the design and operation of engineered works. All three environmental media are addressed: air, soil, and the traditional departmental strength in water. The curriculum emphasizes the application of mathematics, basic science, computing, engineering science, and multidisciplinary thinking in environmental engineering and seeks to foster enterprise and leadership by developing skills in oral and written communication, project management, policy development economics, and planning. The program prepares students to pursue professional engineering careers in the public, private, and not-for-profit sectors.",http://engineering.tufts.edu/cee/undergraduate/majors/bseve.htm,--,,--,,True,Environmental Science and Policy Minor (for Engineering Students),"The minor is designed to give engineering majors greater exposure to natural and social sciences, thereby deepening students' understanding of the causes and solutions to problems related to environmental sustainability. The minor focuses on the integration of knowledge and approaches from different fields for the preservation and improvement of the environment.

The goal of the minor is to empower student navigation across disciplines and to prepare engineering students for interdisciplinary collaboration in the area of environmental sustainability. The faculty advisor for this minor is John Durant, Associate Professor of Civil and Environmental Engineering.",http://as.tufts.edu/environmentalStudies/curriculum/envscienceandpolicyminor.htm,--,,--,--,,--,,--
Tulane University,2016-02-04,2016-02-04 11:04:00,ldavey@tulane.edu,2.0,Pursuing,True,Environmental Studies,"The environmental studies major is an interdisciplinary major drawing courses from the School of Liberal Arts, School of Sciences and Engineering, School of Public Health, School of Business, and School of Architecture.  The environmental studies major (EVST)  is a coherent and definitive compilation of the university's wide range of environmental concentration courses.  The major has been designed to not only provide ample opportunity for students' interdisciplinary educational development, but also various opportunities for further enrichment and knowledge of key environmental and humanistic concerns.",http://tulane.edu/liberal-arts/environmental-studies/, Social Policy & Practice Coordinate Major,"This major introduces students to problems, policies, and methods in the social policy and welfare field through four core courses and additional elective coursework in the social and behavioral sciences. The program is particularly interested in encouraging the study of social problems related to living in an urban environment such as issues related to race, class, poverty, gender, social justice and the intersections among them.",http://tulane.edu/liberal-arts/social-policy-practice/,--,,--,,True,Minor in Social Innovation & Social Entrepreneurship,"Building upon Tulane University's strengths in civic engagement and service learning, the interdisciplinary social innovation and social entrepreneurship (SISE) minor will prepare students to use solutions-oriented thinking, integrate theory and practice, generate and support stimulating research across fields, & better understand and create new models of social change. Tulane recognizes that well-informed, motivated, and connected citizens are the real agents that create change, and the time and place to cultivate these changemakers is during their university studies. SISE will enable students to explore how they can be changemakers in whatever career path they choose, be it working for a nonprofit, a corporation, in academia, or starting their own venture.",http://tulane.edu/socialentrepreneurship/sise-classes.cfm,--,,--,--,,--,,--
Unity College,2016-03-25,2016-03-25 15:25:00,JdeHart@unity.edu,2.0,Pursuing,True,Sustainable Energy Management,"This program allows students to develop their talents and skills as applied scientists, entrepreneurs, business managers, and planners in the fields of energy efficiency, renewable energy, and related responses to climate change. Emphasis is placed on practical skills based on solid general theory, understanding and employing technology, practical implementation and related accounting for costs and benefits",http://www.unity.edu/academics/majors/sustainable_energy_management,Sustainable Agriculture ,"The Sustainable Agriculture major is designed to prepare students for careers in sustainable agriculture and food systems. The program emphasizes small-scale, local, sustainable agriculture, blending applied knowledge of plants and soils, the context of environmental change, and skills necessary to problem solve and advocate for the role of agriculture in building healthy communities. ",http://www.unity.edu/academics/majors/sustainable_agriculture,"Environmental Policy, Law, and Society","The Environmental Policy, Law, and Society program is designed to give students tools and knowledge needed to improve the environmental health of both humans and the natural world through wise governmental and non-governmental decision-making. Studies in law, science, social science, environmental ethics, and history provide an interdisciplinary framework for understanding and analyzing the broad range of factors that play a role in environmental policy formation. ",http://www.unity.edu/academics/majors/environmental_policy,"Earth and Environmental Science http://www.unity.edu/academics/majors/earth_and_environmental_science
Art and the Environment http://www.unity.edu/academics/majors/art
Biology http://www.unity.edu/academics/majors/biology
Conservation Law http://www.unity.edu/academics/majors/conlaw
Environmental Writing http://www.unity.edu/academics/majors/environmental_writing
Marine Biology http://www.unity.edu/academics/majors/marine_biology
Parks and Forest Resources http://www.unity.edu/academics/majors/parks_and_forest_resources
Wildlife Biology http://www.unity.edu/academics/majors/wildlife_biology
Wildlife and Fisheries Management http://www.unity.edu/academics/majors/wildlife_and_fisheries_management",--,--,,--,--,,--,--,,--,,"Undergraduate academic majors at Unity College are focused on sustainability and environmental science, such as Sustainable Agriculture, Sustainable Energy management, and Environmental Policy, Law and Society."
University at Albany,2016-02-23,2016-02-23 17:54:14,mmallia@albany.edu,2.0,Pursuing,True,Interdisciplinary Studies with a concentration in Environmental Science,"The Department of Atmospheric and Environmental Sciences offers a Bachelor of Science in Interdisciplinary Studies with a concentration in Environmental Science. Graduates with this concentration will be well qualified for a broad range of employment within the highly interdisciplinary field of environmental science.  There are four distinct specializations within this major concentration: Ecosystems, Climate Change, Geography, and Sustainability Science and Policy",http://www.albany.edu/atmos/bachleors-program-environmental-sciences.php,Geography,"Geography majors have the opportunity to study the characteristics of space, location and place in the broader context of how people interact with both physical and human environments. Geography can be classified as both a natural science and a social science as it examines people and their environment and serves as a bridge between the physical and cultural worlds. Planning is a discipline and professional practice that deals with the form, organization, and orderly development of cities, suburbs, and rural areas.",http://www.albany.edu/gp/geography_major.php,Globalization Studies,"The Globalization Studies major enables students to take a variety of courses focusing on the comprehensive and multidisciplinary analysis of globalization processes. It prepares students to ‘think globally’ by providing them with an undergraduate education that responds effectively to today’s global interconnectedness and fosters a thorough knowledge and a critical understanding of the social, economic, cultural, political, and environmental forces that are reshaping the lives of peoples and nations around the world. At the same time, the major demonstrates that globalization is always implicated and embedded in the cultural and historical context of the ‘local’, which emphasizes the importance of a specific place, a community, or even an individual household.",http://www.albany.edu/globalization/,"Atmospheric and Environmental Science: http://www.albany.edu/atmos/index.php
",True,Sustainability,"The minor in sustainability creates a curriculum that will help students understand what sustainability is and how it is perceived within various disciplines. Students will take courses that specifically address the environmental, geopolitical or social aspects of sustainability.",http://www.albany.edu/gogreen/7.minor.shtml,Globalization Studies,"The Globalization Studies minor enables students to take a variety of courses focusing on the comprehensive and multidisciplinary analysis of globalization processes.  It looks at today’s global interconnectedness and fosters a thorough knowledge and a critical understanding of the social, economic, cultural, political, and environmental forces that are reshaping the lives of peoples and nations around the world. ",http://www.albany.edu/undergraduate_bulletin/minors.html,Certificate in GIS,"This certificate program provides undergraduates with professional and technical training in geographic information systems (GIS) and associated techniques of spatial analysis. Geographic information systems are computer-based systems for storage, analysis, and display of spatial data. The disciplines of cartography, remote sensing and computer graphics are closely linked to the study of GIS. In conjunction with GIS, methods of spatial analysis may be used to study a wide range of problems, including resource management, land management for agriculture and forestry, urban planning, land use mapping, market area analysis, urban social analysis and a host of other applications.",http://www.albany.edu/gp/gis_certificate_undergrad.php,,--
University at Buffalo,2016-01-19,2016-01-19 10:15:51,jlk47@buffalo.edu,2.0,Pursuing,True,"Environmental Studies Major, BA in Social Sciences Interdisciplinary","The Environmental Studies major is intended for those interested in the environment and concerned with loss of habitat, global warming, and the impact that human beings have on the natural world. This major prepares students for careers in environmental science, field ecology, conservation education, resource management, and environmental advocation. Students in this major study environmental issues through an interdisciplinary lens. Specialized tracks are available in Environmental Policy and Education and Environmental Resources and Management. A capstone experience in the form of an internship is required. Students may pursue a BA (16 courses) or BS (19 courses) in this major. A minor in Environmental Studies is also offered.
http://sscidp.buffalo.edu/students/environmental-studies/",http://undergrad-catalog.buffalo.edu/academicprograms/ssc_degrees.shtml,"Environmental Design, BA","The Bachelor of Arts in Environmental Design program offers a pre-professional course of study grounded in the multidisciplinary traditions of the liberal arts and active intervention in community and regional environments through classroom activity, fieldwork, workshops, and internships. 

We live in times in which our urban and built environments are undergoing unprecedented change. The Bachelor of Arts (BA) in Environmental Design degree provides students with the skills to understand, analyze, and solve problems associated with such change, with a view toward community vitality, social fairness, and the design of sustainable environments. Environmental design, offered by the Department of Urban and Regional Planning, applies knowledge of social and behavioral science to plan and design community environments that affect, and are affected by, human behavior.

While concerned about humanity's use, misuse, and abuse of the natural environment, environmental design is also concerned with the planned environment which humans build - the ""artificial"" or designed physical environment - and its ability to meet community needs. More subtly, environmental design includes issues from our cultural, economic, physical, political, and social environments. 

Environmental design practitioners develop long- and short-term plans and designs to use land for the growth and revitalization of urban, suburban, and rural communities, while helping local officials make decisions concerning social, cultural, economic, physical, and environmental issues. 

http://ap.buffalo.edu/academics/urban-regional-planning/degrees/baed.html",http://undergrad-catalog.buffalo.edu/academicprograms/env.shtml,"Environmental Engineering, BS","Among the top priorities of the profession are the delivery of safe water to drink and clean air to breathe, and the restoration of water quality in the Great Lakes, the Hudson River and natural water systems throughout the nation. Today, environmental engineers face issues that are changing the world. With their unique combination of environmental science and engineering, environmental engineers are the linchpins in defending the global public health, water supplies and ecosystem viability.

http://engineering.buffalo.edu/civil-structural-environmental/undergraduate/bs-environmental-engineering.html",http://undergrad-catalog.buffalo.edu/academicprograms/enve.shtml,"Environmental Geosciences, BS: http://undergrad-catalog.buffalo.edu/academicprograms/envgeo.shtml

The B.S. in Environmental Geosciences is an interdisciplinary degree program offered by the College of Arts and Sciences. This curriculum is specially designed to prepare students for leadership positions across a broad range of environmental fields. The degree program is based on courses offered by the departments of Biological Sciences, Chemistry, Geography, Geology and Civil, Structural and Environmental Engineering and it currently has three specialization tracks: Ecology & the Environment, Water & the Environment, and Environmental Monitoring & Analysis. Environmental Geoscience graduates will have a solid foundation in biological, physical, and natural sciences, mathematics and statistics, and analytic and geospatial techniques, as well as the specialized training necessary for integrated analysis of environmental systems
",True,Minor in Environmental Studies ,"The Social Sciences Interdisciplinary Degree Program also offers a minor in Environmental Studies. The description for the major and minor are the same: The Environmental Studies major is intended for those interested in the environment and concerned with loss of habitat, global warming, and the impact that human beings have on the natural world. This major prepares students for careers in environmental science, field ecology, conservation education, resource management, and environmental advocation. Students in this major study environmental issues through an interdisciplinary lens. Specialized tracks are available in Environmental Policy and Education and Environmental Resources and Management. A capstone experience in the form of an internship is required. Students may pursue a BA (16 courses) or BS (19 courses) in this major. A minor in Environmental Studies is also offered.",http://sscidp.buffalo.edu/students/environmental-studies/,--,,--,--,,--,,--
University of Arizona,2016-03-25,2016-03-25 15:31:56,bchampion@email.arizona.edu,2.0,Pursuing,True,Sustainable Built Environments,"The College of Architecture, Planning, and Landscape Architecture is pleased to offer an extraordinary degree opportunity for students interested in entering the new green economy. The Bachelor of Science in Sustainable Built Environments is a solutions-based, interdisciplinary undergraduate degree that educates students in the comprehensive understanding of environmental design, planning, and management challenges. Graduates are prepared for challenges to be met in a rapidly developing world with global issues of an unprecedented nature. Students learn a comprehensive understanding of sustainability principles and are prepared with the skills to make our communities, buildings, and landscapes more sustainable.",http://capla.arizona.edu/degree/sustainable-built-environments-degree-program,Environmental and Water Resource Economics,"A degree in Environmental Water Resource and Economics (EWRE) prepares students to assume responsible positions in the management of the world's natural and human resources. Students develop skills through their studies in agribusiness management, finance, economic theory, natural resource economics, environmental regulation, quantitative techniques, and economic development, both domestic and international. In the Environmental & Water Resource Economics major you will: receive training in environmental and natural resource economics and quantitative methods as well as integrate your studies with science, politics, law, information technology, project management, marketing, and communications. Students in this major will take four core classes and then design their own degree drawing from courses in three areas of specialization: Environmental and Water Sciences, Management and Policy, or Quantitative Methods.",http://degreesearch.arizona.edu/major/environmental-water-resource-economics,Natural Resources,"Students can select any of the six options or emphasis areas in the Natural Resources Major: 
Conservation Biology | Ecology and Management of Rangelands l Fisheries Conservation & Management | Wildlife Conservation & Management | Global Change Ecology and Management | Watershed Management and Ecohydrology

Each academic option provides the background required for at least entry-level positions with most agencies and organizations involved in natural resources conservation and management, and for graduate programs in applied ecology or resource management.",http://snre.arizona.edu/academics/prospective-students/undergraduate-degrees,http://www.environment.arizona.edu/green-guides/degree ,True,Natural Resources,"Like the major above, that Natural Resources Minor offers information that will help student qualify for entry level positions in natural resource management or wildlife conservation. 
Students can receive minors in Natural Resources for the following areas:
Conservation Biology
Fisheries Conservation and Management
Ecology, Management, and Restoration of Rangelands 
Watershed Management and Ecohydrology
Wildlife Conservation and Management
",http://www.snre.arizona.edu/academics/prospective-students/undergraduate-degrees,"Soils, Water and Environmental Science (SWES)","The SWES minor provides students with scientific tools and experience needed to inform practitioners and policymakers in the areas on environmental science, including but not limited to, industrial hygiene, ecology, environmental chemistry, environmental law and more.",https://swes.cals.arizona.edu/undergrad-program/guidelines,--,,--,"The UA Green Degree Guide lists other undergraduate-level sustainability minors, concentrations, and certificates: http://www.environment.arizona.edu/green-guides/degree",Latest update: February 2016
University of British Columbia,2016-02-22,2016-02-22 18:18:38,charlene.ponto@ubc.ca,2.0,Pursuing,True,B.A. in Geography (Environment and Sustainability),"The Environment and Sustainability Program offers an integrated understanding of physical, ecological, economic, socio-cultural and political systems, as they shape the world in which we live and influence the future of life on planet earth. It provides an excellent grounding for those interested in working in the environmental sphere and a strong platform for the development of a sense of global stewardship.",http://www.geog.ubc.ca/undergraduate/programs/environment-sustainability/,B.Sc. in Global Resource System,"The Global Resource Systems (GRS) program is offered by the Faculty of Land and Food Systems. This program strives to develop exceptional global citizens who promote the values of a civil and sustainable society. The program recognizes that resource problems are complex and require a range of skills, as well as solutions that are global and interdisciplinary in scope. Students customize their degree by selecting both a resource area and region of the world to focus their studies.",http://www.landfood.ubc.ca/undergraduate/programs/grs,B.Sc. in Natural Resources Conservation,"The Bachelor of Science in Natural Resources Conservation is an interdisciplinary program designed to prepare students for careers in the conservation of natural resources. The program provides students with a solid foundation across several disciplines including the natural and social sciences underlying the conservation and management of natural resources, an appreciation for the political and socioeconomic contexts that affect the design and outcomes of conservation and management strategies, and a working knowledge of technologically advanced tools and quantitative techniques available to renewable resources planners and managers. Throughout the program, emphasis is placed on developing communication skills, both oral and written, including approaches to public participation in natural resources planning.",http://www.forestry.ubc.ca/undergraduate/prospective/degree-programs/natural-resources-conservation/,http://sustain.ubc.ca/courses-teaching/degree-programs,True,B.Com. with Sustainability Concentration,"This concentration aims to expose students to the challenges that today’s business leaders are facing with regards to environmental, economic and social sustainability by complementing BCOM courses with sustainability studies.",http://www.sauder.ubc.ca/Programs/Bachelor_of_Commerce/Current_Students/Concentrations_and_Minors,B.A. Minor in Health and Society,"The Health & Society Minor offers a multidisciplinary exploration of issues pertaining to health, illness and society from perspectives inherent to the social sciences and humanities.",http://heso.arts.ubc.ca/,B.A. Minor in Environment and Society,"This strongly interdisciplinary minor program encourages students to examine using the lenses of science to understand the forces at work, and of humanities to explore the political, economic, social and ethical issues. ",http://students.arts.ubc.ca/environment-and-society-minor/,http://sustain.ubc.ca/courses-teaching/degree-programs,--
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:05,lmcneilly@berkeley.edu,2.0,Pursuing,True,Conservation and Resource Studies,"The Conservation and Resource Studies (CRS) major is an interdisciplinary program designed for students interested in environmental issues and areas of interaction among natural resources, population, energy, technology, societal institutions, and cultural values. The major’s orientation is toward flexibility and an individualized educational approach to understanding the structure and dynamic functions of complex environmental systems within our society and biosphere.

Students draw on the course offerings of the entire campus and appropriate community resources in the development of individual programs of study.",http://ourenvironment.berkeley.edu/undergraduate-programs/,Society and Environment,"Social and environmental problems are deeply intertwined. The Society and Environment (SE) major introduces students to the main approaches and theory for environmental social sciences, including how social science tools can be applied to environmental problems, and how social science theories contribute to understanding environmental problems. ",http://ourenvironment.berkeley.edu/undergraduate-programs/,Environmental Engineering Science,"The Environmental Engineering Science (EES) major is an interdisciplinary program pairing engineering fundamentals with courses in the environmental and natural sciences. The EES curriculum provides a broader foundation in the sciences, allowing students to take classes in a variety of department both inside and outside of the COE. At the same time, it allows students to focus their studies on environmental issues more than is possible in other engineering programs.  EES provides a solid interdisciplinary foundation that is necessary for creating real-world solutions to global environmental challenges, such as providing a robust supply of safe drinking water, and meeting societal demands for energy without causing air pollution or interfering with the earth’s climate systems.",http://engineeringscience.berkeley.edu/environmental-engineering-science/,,True,Minor in Sustainable Design,"Sustainable design implies making decisions at various scales of the built environment (buildings, communities, land use patterns, urban support systems) in ways that support environmental quality, social equity, and economic vitality. The undergraduate minor in sustainable design is jointly offered by the Department of Architecture and the Department of Landscape Architecture and Environmental Planning, but also includes interdisciplinary courses across campus. The minor is open to all majors at UC Berkeley.",http://ced.berkeley.edu/academics/additional-programs/sustainable-design/,Global Poverty and Practive minor,"Established in the Fall of 2007, the Global Poverty & Practice (GPP) Minor at the University of California, Berkeley gives students an opportunity to examine contemporary forms of poverty, wealth, and inequality through academic coursework and practical experience.

The GPP Minor is one of the largest minors on the UC Berkeley campus. It trains students to critically and historically engage with complex issues of poverty and inequality, equipping them with methodologies and skills of engagement, and encouraging the reflexivity necessary for meaningful practice. Central to the minor is a fieldwork opportunity (minimally six weeks) in which students connect theories and practices of poverty action through partnering with nongovernmental or community organizations, government agencies, or other poverty or development programs in California and around the world. Students from all disciplines are encouraged to undertake the minor and to investigate the ways in which it can supplement their major field of study. The Blum Center offers funding support for students’ practice experiences through a competitive fellowship.",http://blumcenter.berkeley.edu/education/gpp/,--,,--,,--
"University of California, Davis",2016-03-28,2016-03-28 16:31:23,cmkirk@ucdavis.edu,2.0,Pursuing,True,Sustainable Agriculture and Food Systems ,"Major: Sustainable Agriculture and Food Systems

Students in the Sustainable Agriculture and Food Systems major focus on the social, economic and environmental aspects of agriculture and develop a thorough understanding of our food cycle from farm to table and beyond. Subjects from eight academic departments will give you a broad understanding of the many aspects of modern agriculture and food systems, and combine with real-world experiences to develop the skills needed to be a successful agriculturalist, entrepreneur and researcher.

Real World
A degree in Sustainable Agriculture and Food Systems prepares you for a broad range of careers related to agricultural production and food system management, rural and urban community services, education and development, as well as careers in agricultural, environmental, and economic policy and analysis. Employers range from non-profit organizations, state and federal agencies, nature preserves, community organizations and industry conglomerates.

Major Requirements
The Sustainable Agriculture and Food Systems major offers three tracks of study: food and society, agriculture and ecology, and economics and policies. Students in the Agriculture and Ecology track will focus on crop and animal production systems, ecology, and practices that mitigate negative impacts while producing environmental and social benefits. Students in the Food and Society track will focus on issues related to the social, cultural, political and community development aspects of agriculture and food systems. Students in the Economics and Policy track will focus on issues related to agricultural and resource economics, policy and management.",http://asi.ucdavis.edu/students/about-major,Sustainable Environmental Design,"SED students will gain basic skills in urban and environmental design, local government planning, and green building. They will also learn about sustainable development theory and community dynamics. With this degree, graduates will be well suited to work in government, community organizations, education, or the private sector, or to pursue graduate education in city and regional planning, landscape architecture, architecture, public policy, public administration, real estate, or related fields.",http://humanecology.ucdavis.edu/,--,,--,,True,Sustainability in the Built Environment,"Sustainability in the Built Environment
Description: This minor provides a guiding framework for educating individuals who will design and maintain our future built environment in the challenges and potential solutions for improved sustainability. This minor is advised by faculty in the Civil and Environmental Engineering Department but open to students across campus.",http://engineering.ucdavis.edu/wp-content/uploads/2013/07/ESBE_minor1.pdf,Energy Efficiency,"Development and implementation of more energy efficient technologies and practices has been identified as the most rapid approach to reduce dependence on foreign oil and fossil fuel resources. Individuals with knowledge of energy sciences and energy efficiency are needed to design more efficient energy systems and identify approaches for their integration into existing and new infrastructures. The energy efficiency minor is expected to compliment many majors including those in design, engineering, science, policy, economics, planning, and management.",http://engineering.ucdavis.edu/wp-content/uploads/2013/07/EEPL_minor1.pdf,Agricultural Systems and Environment,"The minor is useful to students in majors whose subject matter involves economics, management, the environment and resource sciences. The minor provides the student with fundamental knowledge of issues involving sustainable agriculture production and range management. Agriculture is one of the major industries of California and the world, and plays a central role in human affairs. Linking knowledge of agriculture with the subject matter of the student's major provides a useful and interesting breadth of application in areas involving economics, management, and social and environmental issues.",http://www.plantsciences.ucdavis.edu/plantsciences/undergrad_students/ag_systems_env_minor.htm,,--
