Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Title or keywords related to the innovative policy, practice, program, or outcome","A brief description of the innovative policy, practice, program, or outcome",A brief description of any positive measurable outcomes associated with the innovation (if not ...,Provide affirmation that the following statements are true:,"The innovation describes a new, extraordinary, unique, ground-breaking, or uncommon outcome, ...","This innovation (program, policy, or outcome) is not already covered by an existing STARS credit or ...","The innovative practice, policy, program, or outcome has occurred within the past three years","The institution has not previously received a STARS innovation credit for this specific practice, ...",A letter of affirmation from an individual with relevant expertise,Which of the following STARS subcategories does the innovation most closely relate to? (Select all ...,Does the innovation relate to Curriculum?,Does the innovation relate to Research?,Does the innovation relate to Campus Engagement?,Does the innovation relate to Public Engagement?,Does the innovation relate to Air & Climate?,Does the innovation relate to Buildings?,Does the innovation relate to Dining Services?,Does the innovation relate to Energy?,Does the innovation relate to Grounds?,Does the innovation relate to Purchasing?,Does the innovation relate to Transportation?,Does the innovation relate to Waste?,Does the innovation relate to Water?,"Does the innovation relate to Coordination, Planning & Governance?",Does the innovation relate to Diversity & Affordability?,"Does the innovation relate to Health, Wellbeing & Work?",Does the innovation relate to Investment?,Other topic(s) that the innovation relates to that are not listed above,The website URL where information about the innovation is available,Public Notes
Belmont University,2016-03-14,2016-03-14 08:38:25,mary.lucus@belmont.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Beloit College,2016-03-23,2016-03-23 13:47:11,chapmanlr@beloit.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bentley University,2016-03-25,2016-03-25 16:00:13,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:35,paulyj@berea.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Binghamton University,2016-03-20,2016-03-20 17:32:51,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:12,carlberg@bu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bowdoin College,2016-02-25,2016-02-25 17:01:11,cpayson@bowdoin.edu,2.0,Pursuing,Local food innovation,"Bowdoin College was a proud partner of the Maine Innovation Challenge, an initiative aimed at encouraging the sharing of ideas on how to significantly enhance current local food models, such as farmers’ markets, fish markets, CSAs, pick-your-own and farm-stands, or create new models that adapt to local and regional needs, utilize technology and adopt creative business structures such as cooperatives and L3Cs.

The event was kicked off at Bowdoin College with a keynote address by Michael Rozyne ’78 titled “Sustainable Food – Healthy, Green, Fair, Affordable: Can We Have It All and Scale It Up?”  Rozyne spoke about the current local and sustainable food movement in the U.S., and the issues, challenges and obstacles that must be overcome to scale up this movement. He also touched on how innovation, technology, and collaboration might come into play.  Mr. Rozyne is executive director of Red Tomato, a nonprofit that connects farmers to consumers, relying on wholesale distribution to deliver farm products to local grocery stores. Previously, Rozyne co-founded Equal Exchange, a cooperative business that trades food in a way that he says empowers both farmers and consumers.

The keynote address was followed by a three day event at Bowdoin College where thirty-six participants, representing 10 teams, participated in the Maine Innovation Challenge.   Over the course of the weekend several resource people were available to advise teams and two short workshops were provided on the Business Model Canvas and Creating a Pitch.  Culminating the weekend were presentations by each team, delivering their proposals to a team of five judges.  

The organizers of The Challenge wanted teams to demonstrate bold and big ideas pushed by people who want to challenge each other and the status quo. They encouraged solutions that either significantly enhance current local food models or create new models that adapt to local and regional needs, utilize technology and adopt creative business structures such as cooperatives and L3Cs.  They asked participants to think about processes along the entire distribution chain including aggregating, processing, distributing or marketing.
Maine Farm & Sea Cooperative and Forq Food Lab were the winners of the Challenge.  Both teams received $5,000 plus 6 hours of legal services. The New Beet Market and Frinklepod Farm tied for second place and each received $1,750 plus 8 hours of consulting services. Two student teams, AgriGatr, from Hampshire College and the Darling Sea Farm, from the Darling Center, received Honorable Mention.
Bowdoin’s Environmental Studies Program was honored to be a partner and host of the event, and see events like this as an opportunity to help initiate a more sustainable future.  Bowdoin’s faculty, staff and students participating on the advisory committee are already looking forward to hosting the event again next year. 
",,**,True,True,True,True,http://stars.aashe.org/media/secure/223/6/584/3278/Innovation%20Food%20Challenge.pdf,**,True,--,--,True,--,--,True,--,--,--,--,--,--,--,--,--,--,--,http://community.bowdoin.edu/news/2015/10/maine-innovation-challenge-november-20-22/,--
Brown University,2016-03-23,2016-03-23 07:28:09,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:41,gvalenti@bryant.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:38,delmogaz@bucknell.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:12:00,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:51,dan.wakelee@csuci.edu,2.0,Pursuing,Hydro Convergence of the Central Plant Cooling Tower,Implementation of the Evap-Capture has the ability to capture water vapor that is normally lost to the atmosphere via Evaporation from an Open Recirculating Cooling System without changing the Cooling Tower Manufacturer's hardware design or performance.,"The system is designed to recover hundreds of water, which is evaporated from cooling towers at the campus central plant. The final design will capture 30% of the water vapor lost per hour, which would otherwise have to be replaced with the campus water supply. ",**,True,True,True,True,http://stars.aashe.org/media/secure/207/6/584/3278/Hydroconvergence%20Letter%20for%20Innovation.pdf,**,--,--,--,--,True,--,--,True,--,--,--,--,True,--,--,--,--,--,--,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:33,mmoscol@fullerton.edu,2.0,Pursuing,Solar Photovoltaic energy network,The 1 MW network allows campus to generate approximately 20% of its energy from a renewable energy source. ,"The University ranked number 7 amongst the top 10 universities across the nation for its use of solar energy in 2014 according to Energy Digital Magazine. 

The ranking advertised that CSUF’s 1 MW solar energy system alone is offsetting more than 26.422 tons of greenhouse gas each year. To put that in perspective, it is equivalent to removing 5,180 cars from the road for 25 years. ",**,True,True,True,True,http://stars.aashe.org/media/secure/60/6/584/3278/Innovation_SolarPV(2015).pdf,**,--,--,--,--,True,True,--,True,--,--,--,--,--,--,--,--,--,--,http://facilities.fullerton.edu/subject/engineering_sustainability/utility_energy/Default.asp,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:38,austin.eriksson@csun.edu,2.0,Pursuing,Aqua Cents- Innovative Water Conservation Technology Application,"California is being faced with a record drought and with a shrinking water supply all California’s are being asked to reduce their water consumption by 25%. In an effort to meet this goal, CSUN began looking at options to conserve water in our landscaped areas. The goals was to ultimate reduce water consumption in large turf spaces while maintaining a playable field.  The University piloted a product called Aqua Cents on our East Field to test its effectiveness and how it could help us achieve our goals.
Aqua Cents offers the only technology on the market using a method of injecting pressurized hydrogels for water conservation measures in turf and landscaping. The Aqua Cents device injects agricultural grade hydrogels beneath the turf’s surface to help retain moisture. This material acts as a sponge below the root zone, holding any excess irrigation water until the roots extract it. ","This product has helped the university reduce water consumption on the East Field by 50%-70% during the testing period. Because the product performed so well, two additional locations (North Field and Sierra Quad) were treated. CSUN is estimating an annual water savings of 7,320,000 gallons from these three projects.",**,True,True,True,True,http://stars.aashe.org/media/secure/830/6/584/3278/Letter%20of%20Innovation.pdf,**,--,--,--,--,--,--,--,--,True,--,--,--,True,--,--,--,--,--,--,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:17,kristina.cullen@csus.edu,2.0,Pursuing,Refillable Propane Tanks at Peak Adventures,"Peak Adventures at Sacramento State now offers The Little Kamper Refillable 1lb Propane Cylinder. Propane is the ideal camp and tailgate fuel choice. When you buy a 1lb disposable propane tank, the packaging (the tank) costs more than the contents (the propane). Once you use the propane, the cost of recycling the container is higher than the value of the steel. These refillable propane tanks reduce waste and allow you to enjoy the outdoors sustainably. These refillable propane tanks are available to rent or to buy. ",,**,True,True,True,True,http://stars.aashe.org/media/secure/760/6/584/3278/Propane%20Innovation.pdf,**,--,--,True,True,--,--,--,--,--,True,--,True,--,--,--,--,--,--,http://peakadventures.org/equipment/index.php,--
Calvin College,2016-03-11,2016-03-11 14:31:21,bhaney@calvin.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Carleton College,2016-02-26,2016-02-26 11:19:37,mlarson@carleton.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:15,bk11@andrew.cmu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Case Western Reserve University,2016-03-25,2016-03-25 15:40:52,stephanie.corbett@case.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chatham University,2016-02-17,2016-02-17 13:05:04,MWhitney@chatham.edu,2.0,Pursuing,Clean Construction Policy,"Working with our partner, GASP (Group Against Smog and Pollution), the oldest citizens environmental action group in the U.S., Chatham agreed to implement a Clean Construction Policy for construction projects starting from 2014 and forward. The policy indicates that any construction equipment, not already possessing Tier 4 emissions equipment, must have an added diesel particulate filter to be on the job site. Exceptions are made for equipment that is not available as Tier 4 or particulate filters are not available (i.e. certain heavy equipment such as cranes). ","Since adopting this policy, Chatham has implemented a daily on-site inspection program, which was adhered to by all of our contractors. The Office of Sustainability, in partnership with GASP, conducted a Clean Construction Workshop & Seminar in Fall 2014 for local businesses and institutions. We partnered with the only other institution in the region to commit to a clean construction policy, University of Pittsburgh Medical Center (UPMC), to provide this educational program to explain what the policy entails and dispel myths about requirements. Starting in September 2015, Chatham's Director of Sustainability, Dr. Mary Whitney, will be speaking at the University of Pittsburgh about our experiences and provide mentorship as they seek to implement a similar policy. In addition, we were able to use the data we collected under the Clean Construction policy to improve our data capture for our annual greenhouse gas audit.  ",**,True,True,True,True,http://stars.aashe.org/media/secure/378/6/584/3278/Chatham%252c%20letter%20of%20support.pdf,**,--,--,--,True,True,--,--,--,--,--,True,True,--,True,--,--,--,--,http://gasp-pgh.org/2014/11/24/environmental-groups-praise-chatham-university-and-pittsburgh-parks-conservancy-for-reducing-diesel-emissions-urge-other-institutions-to-adopt-similar-policies/,--
Clark University,2016-02-24,2016-02-24 15:49:34,jisler@clarku.edu,2.0,Pursuing,Solar Flare,"Working with our utility provider, National Grid, and the State of Massachusetts Renewable Energy Portfolio Standard, Clark negotiated an Alternative Renewable Energy Credit with solar power provider, Solar Flare. The arrangement is highly innovative in that it allowed Solar Flare to build two solar farms with financing from all partners, and while the REC's will go toward the utility's renewable energy production requirements, Clark benefits for the 20 year term of the agreement through direct and deep discounts on purchased electricity. So, the more we reduce purchased electricity demand, whether through increased efficiency, co-gen distribution expansion, or behavior change initiatives; the less our financial burden due to the long-term credit arrangement. This will enable Clark to better strategically manage the eventual and inevitable market purchase of REC's required to achieve our Climate Action Plan goal of net zero in 2030. Furthermore, Clark bears no associated cost or operational burden for the farms or technology requiring upgrading, maintenance or post-contract ownership issues.","Based on the value of the discounts, 73% of the University's purchased electricity is attributable to solar at average kW costing.",**,True,True,True,True,http://stars.aashe.org/media/secure/503/6/584/3278/MLeahy%20letter.docx,**,--,--,--,--,True,--,--,True,--,--,--,--,--,True,--,--,--,--,--,--
Clarkson University,2016-02-12,2016-02-12 07:37:55,sep@clarkson.edu,2.0,Pursuing,"The Adirondack Semester immerses students with  unique opportunity to explore the people, place and  policies of the region","Clarkson has developed a domestic study semester in the Adirondack Mountains. The motto of the program is ""where nature, people, and policy meet."" Students take block classes and work on a semester long integrated research project that looks at a sustainability issue in the Adirondack Park from multiple perspectives.  

Each semester a small group of up to 12 students are in session with a diverse group of Clarkson faculty with specific interests, experience and scholarly work directly related to the Adirondack Park. Our mission is to deliver a dynamic blend of traditional and experiential education in an intimate and community-based learning environment. Students strive to answer broad questions concerning the relationship of social, economic and environmental impacts of the Adirondack Park. They are absorbed in interdisciplinary courses in the natural and social sciences and emerge with critical thinking and collaborative skills that prepare them to analyze complex problems and provide solutions related to environmental, social, and economic sustainability.","The integrated research projects are of significant interest to the community and generate a fair amount of debate and dialogue. So far 6 classes have gone through the semester long program. The outcome of these semesters has been real findings that are used by our stakeholders in the Adirondacks. In addition, when students return to the main campus many of them take on leadership positions. Many of the students have described how the Adirondack Semester has impacted their world view in a very positive way. ",**,True,True,True,True,http://stars.aashe.org/media/secure/398/6/584/3278/Clarkson-Letterofverification%20(1).pdf,**,True,--,--,True,--,--,--,--,--,--,--,--,--,--,--,--,--,--,http://www.clarkson.edu/adksemester/,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:22,sustain@coastal.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Colby College,2016-01-12,2016-01-12 15:54:22,ksbright@colby.edu,2.0,Pursuing,The RESCUE Sale,"RESCUE (Recycle Everything, Save Colby’s Usable Excess) started in 2001-02 to capture clothing,household items, furniture, appliances, and other items that departing students leave behind. Now clothing and furniture are donated to local nonprofits and other items are cleaned and stored for sale the following fall, which allows students to purchase gently used items from their peers instead of purchasing new ones.",The RESCUE Sale has diverted tens of thousands of pounds from the waste stream by ensuring students' unwanted dorm items are used until the end of their product lives.  It has also raised awareness about the benefit of donating and purchasing used goods among the Colby and Waterville Communities.,**,True,True,True,True,http://stars.aashe.org/media/secure/335/6/584/3278/RESCUE%20Signed%20Letter%20of%20Affirmation.pdf,**,--,--,True,True,--,True,--,--,--,True,--,True,--,--,--,--,--,--,http://www.colby.edu/green/how-to-get-involved/,--
Colgate University,2016-02-28,2016-02-28 11:21:49,jpumilio@colgate.edu,2.0,Pursuing,Forest Sequestration,"Forest sequestration project background:
Existing forests have not been given serious consideration in addressing carbon neutrality goals on college and university campuses. At Colgate University, we recognize that carbon storage and annual sequestration is among the many assets provided by Colgate's forested lands. In 2013, we determined that our 1,059 acres of forests contain 165,491 tons of stored carbon while sequestering an additional 1,578 tons of carbon annually. We will remeasure our forested lands in order to determine rate of growth and carbon sequestration every 5 years.

In early 2014, we received certification from the American Tree Farm Program for long-term sustainable management. This explicit added value will make it more difficult to develop any of our existing forests for any future projects. This was innovative work that emphasizes the value of campus forests in climate solutions. Furthermore, Colgate now has the largest forest certified under the American Tree Farm Program in the Northeast.

This project continues to gain momentum and attention throughout the higher education community.  In 2015, Colgate's Director of Sustainability participated in a Second Nature webcast to help tell the story of our sequestration project, presented at the annual AASHE Conference in Minneapolis on the project, and currently serves on Second Nature's Technical Advisory Group for forest sequestration and carbon offsets.","We determined that our 1,059 acres of forest sequester 1,578 tons of carbon annually.",**,True,True,True,True,http://stars.aashe.org/media/secure/473/6/584/3278/Innovation%20Credit%20-%20Forest%20Sequestration%202.pdf,**,--,True,True,True,True,--,--,--,True,--,--,--,--,--,--,--,--,--,http://www.colgate.edu/distinctly-colgate/sustainability/climate-action-planning/forest-management-land-use,--
College of Charleston,2016-02-29,2016-02-29 16:53:00,fisherb@cofc.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:15:30,ademeo@coa.edu,2.0,Pursuing,Practicing Climate Politics,"In this course, students were active participants in the 2016 United Nations climate negotiations in Paris, France. The 21st Conference of the Parties (COP) to the United Nations Framework Convention on Climate Change (UNFCCC) resulted in a new global treaty to address climate change.

In the course students learned about the negotiation process leading to the new treaty as well as the substantive content of the treaty. They learned about the major negotiating blocs and positions they bring to the negotiations and the roles played by non-State actors in contributing to the final outcome. They also practiced climate politics, as members of the youth constituency of the UNFCCC, as members of the student organization Earth in Brackets, and/or as members of the Global Campaign to Demand Climate Justice.

The bulk of the course was taught during the first four weeks of winter break, spending the first three weeks at the COP in Paris, France. During the final week of the course, students traveled to Uppsala University in Sweden where they collectively debriefed with Swedish peers on the results of the summit and critically evaluated what the results mean for global, national, and local politics of climate change post-2015. Weekly preparatory Skype lecture/discussions during the ten weeks of the fall term also contributed to the coursework.
",,**,True,True,True,True,http://stars.aashe.org/media/secure/477/6/584/3278/Uppsala%20University%20%20Practicing%20Cimate%20Politics.pdf,**,True,--,--,True,True,--,--,--,--,--,--,--,--,--,--,--,--,--,https://www.coa.edu/live/profiles/1801-practicing-climate-politics/templates/details/courses.php,"More on the trip:
https://www.coa.edu/live/news/956-college-of-the-atlantic-students-part-of-paris-un"
Colorado College,2016-02-29,2016-02-29 16:10:06,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,Sense of Place Trips ,"This year the Office of Sustainability, the Office of Field Studies, and the Outdoor Recreation Club have collaborated to create Sense of Place trips following the introduction of Sense of Place into New Student Orientation two years ago. These trips are open to students, faculty, and staff and attempt to go beyond the introduction to Colorado Springs and the west during NSO. Fall 2015 trips included birding at Pinello Ranch, a Native American history walk through Cheyenne Canyon, a water tour with Colorado Springs Utilities, and a tour of the waste material recovery facility. Trips planned for spring of 2016 are a Martin Drake Power plant tour, ""Not your average ski trip"" discussing the impacts of the commercial ski industry on Colorado forest land, a Venetucci Farms workday, a visit to Ludlow Massacre Site, and another trip to go birding at Pinello Ranch. These trips provide an educational setting for students, faculty, and staff to learn hands-on about Colorado Springs, Colorado, and the greater west.","The sense of place trips work to engrain an ethic of sustainability in students, faculty, and staff to care for Colorado College's greater community. With 80% of the student body coming from out-of-state, these trips educate students about CC and its surroundings. Fostering a sense of place also fosters a caring and engagement with the place itself. It is necessary to bolster this understanding in order to pursue sustainability and analyze CC's impact on its environment in order to make it a valuable community member and an agent for change. The sense of place trips increase the number of students with basic knowledge about CC's surrounding environment and also increase the student, faculty, and staff engagement in sustainability related issues. ",**,True,True,True,True,http://stars.aashe.org/media/secure/367/6/584/3278/Sense%20of%20place%20letter,**,--,--,True,True,--,--,--,True,--,--,--,True,True,--,--,--,--,--,https://www.coloradocollege.edu/other/senseofplace/,--
