Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Has the institution adopted a framework for community stakeholder engagement in governance, ...",A brief description of the policies and procedures that ensure community stakeholder engagement is ...,"A brief description of how the institution identifies and engages community stakeholders, including ...",List of identified community stakeholders,A brief description of successful community stakeholder engagement outcomes from the previous three ...,The website URL where information about the institution’s community stakeholder engagement ...,Public Notes
Colorado State University,2015-12-16,2015-12-16 16:39:23,tonie.miyamoto@colostate.edu,2.0,Pursuing,True,"CSU has the Center for Public Deliberation whose main goals are:
1. Enhance the Local Civic Culture
2. Expand Collaborative Decision-Making
3. Improve Civic Pedagogy

It is made up of CSU students, CSU faculty/staff, and local community members who work together to increase transparency, accessibility, and engagement in CSU governance, strategy, and operations. 

The CPD serves as an impartial resource to the northern Colorado community. It is based on the belief that democracy requires high quality communication, but unfortunately such communication is rare. Working with students trained in small group facilitation, the CPD assists local government, schools boards, and community organizations by researching issues and developing useful background material, and then designs, facilitates, and reports on innovative public events. ","The Center for Public Deliberation conducts frequent Community Issues Forums where anyone can come to present issues of concern. These can then be adopted as formal topics for consideration and are considered by the various committee members in hope of finding supportive community solutions. Underrepresented and vulnerable groups benefit from this free resource as a way to give voice to concerns and ask for consideration on important items.

Recent issues included elder abuse in Larimer County, the retail marijuana amendment, anti-bullying, as well as on campus policies such as a campus-wide smoking ban, proposals for an on-campus stadium, etc. ","Campus Community (students, faculty & staff)
Fort Collins Community
Neighborhoods in proximity to campus
City & County government
Health community (hospital, public health, mental health)
Local businesses
Local school district and community colleges
Emergency services (campus, city & county police, fire & EMS)
Advocacy groups (affordable housing, real estate, sustainability, development, etc.)

The CPD Advisory Board is comprised of representatives of these stakeholders:
•Rich Alper, CPD Community Associate
•Karrin Anderson, CSU Department of Communication Studies
•Darrie Burrage, CSU Teaching and Learning Institute
•Deni LaRue, Larimer County Community Information Officer
•Jen Johnson, CSU Student Leadership and Civic Engagement office
•Susan Opp and David McIvor, CSU Department of Political Science
•Ginny Sawyer, City of Fort Collins
•Linda Mahan, Larimer County League of Women Voters
•William Timpson, CSU Department of Education
•Michael Liggett, Fort Collins Library Board, & Liggett, Smith, & Wilson
•Pete Seel, CSU Department of Journalism and Technical Communication
•Mallorie Bruns, Meridian Institute
•Karina Branson, ConverSketch

","A few successes from the past three years include:

Creation of the Northern Colorado Food Cluster: CPD Director Martín Carcasson began working with CSU extension in the fall of 2011 to provide trainings on deliberative practices. In November 2013, CPD worked with Routt County CSU Extension Agent Karen Massey to hold a forum on improving the local food economy. The forum brought together a collection of farmers, local government officials, restaurateurs, and consumers for a two-hour conversation. CPD’s work in local food issues expanded beyond CSU Extension in November 2013 and February 2014. CPD and the Northern Colorado Food Cluster held forums that brought together a mix of local farmers, food businesses, consumers, government officials, and nonprofits to discuss issues related to developing the local food economy. The Food Cluster seeks to create a healthy community through a resilient, local food system, while supporting and promoting local food production, distribution and consumption. Work with the Food Cluster will continue in the fall of 2014.

Creation of a ""Deliberation Track"" in the Communications Studies Masters Program: The program began in the fall of 2013. A new course in Deliberative Theory and Practice was taught for the first time in Spring 2014 to support the track. Graduate students at CSU can now be formally trained in deliberative practices to aid local communities.

Nature in the City Initiative: The City of Fort Collins is running a process to improve overall access to nature within the city. CPD ran an initial process in March 2014 that established these goals: (a) ensure every resident is within a 10-minute walk to nature, (b) have natural spaces that provide diverse social and ecological opportunities, and (c) continue to shift the landscape aesthetic from lawns to more diverse landscapes that support healthy environments for all species. CPD anticipates assisting with another process in fall 2014. Nature in the City website: http://www.fcgov.com/advanceplanning/natureinthecity/

Development of the Partnership for Age-Friendly Communities: This project was started in 2011 and received a national grant this year connected to the National Association of Area Agencies on Aging and MetLife.  Three major projects were run in 2013-2014 including a daylong workshop and two forums on age-friendly transportation. 

A full list of projects is listed on the ""activities"" page of the Center website. 

",http://www.cpd.colostate.edu/,--
Columbia University,2016-01-13,2016-01-13 14:27:27,as3215@columbia.edu,2.0,Pursuing,True,"The University’s framework for partnerships, outreach and engagement with surrounding communities was established a generation ago, with the creation of three campus-wide community service organizations that continue to thrive: Community Impact (CI), the Double Discovery Center (DDC), and Columbia Community Service (CCS). 

Through Community Impact, approximately one thousand Columbia University student volunteers work every year with some 25 community service programs to serve more than 8,000 people in Harlem, Washington Heights, and Morningside Heights. At the Double Discovery Center of Columbia College, our students, alumni, and faculty provide after school and summertime academic enrichment to prepare low-income and at-risk high school students for higher education. Columbia Community Service raises funds from faculty and staff  to support more than 50 local not-for-profit organizations, including soup kitchens, childcare centers, and community gardens in northern Manhattan.
Columbia University has a long tradition of civic engagement by its students, faculty, staff, and alumni, who provide numerous direct services to city residents through hundreds of local partnerships and programs and play leadership roles in public service and the professions, the arts, and the sciences. The Office of Government and Community Affairs (GCA) provides information on and access to the University for local residents, community and civic organizations and others. The Office works to establish and maintain community partnerships, in addition to addressing issues of interest and concern.
GCA is the University’s primary liaison to local Community Boards and represents the University on the boards of several other community organizations.  The office tracks and monitors the Manhattanville Campus Expansion Project, responding to community inquiries and providing the University with timely information on neighborhood issues. The Office also serves as the University’s primary link to the West Harlem Development Corporation and participates in the implementation of the historic West Harlem Community Benefits Agreement and related programs.

","For the academic year 2013-14, two Community Impact groups with over 80 volunteers, informed 1200 local residents about signing up for health insurance, food stamps and other social service benefits. The environmental group, Earth Coalition organized 4 workshops during Earth Week, on Recycling, Energy, Food and Water, reaching about 200 individuals. 
See more at: http://communityimpact.columbia.edu/issues-impact/our-impact#sthash.SReCcSdv.dpuf
",See community stakeholders listed on the Columbia Community Service (CCS) website: http://communityservice.columbia.edu/whom-we-support ,"Comprehensive update on community engagement efforts over the previous three years: 

 http://gca.columbia.edu/files/gca/content/Final%20Growing%20Together%20-%20Update%20to%20the%20Community.pdf

",http://www.columbia.edu/cu/gca/pdf-files,--
Connecticut College,2016-02-28,2016-02-28 16:33:15,jstoffel@conncoll.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Cornell University,2016-03-18,2016-03-18 08:39:50,cma18@cornell.edu,2.0,Pursuing,True,"As previously noted, there are several standing campus-community collaborations that focus on various areas, and are governed to meet that end. In February 2015, community stakeholder engagement at Cornell is generally routed through the Office of Sustainability (Facilities), the Office of Community Relations (Administration), the Atkinson Center for a Sustainable Future (Academic), and Cornell Cooperative Extension and Public Service Center (land grant mission) who consult on a regular basis. To enhance these efforts, change is in the offing. 

Engaged Cornell – a groundbreaking, $150 million, 10-year initiative to establish community engagement and real-world learning experiences as the hallmark of the Cornell undergraduate experience – was launched on October 6 2014. A goal of this developing initiative is to empower Cornell students to become active citizens and to tackle critical challenges by participating in hands-on, practical learning experiences in communities at home and around the world.

This transformational initiative is being established with a $50 million gift from the Einhorn Family Charitable Trust. https://now.cornell.edu/engaged/

Engaged Cornell will create a new model and direction for higher education – one in which public engagement is deeply ingrained, fully institutionalized and effectively taught and implemented. Through this initiative, students graduating from Cornell will enter the world as educated global citizens who practice respect and empathy; seek collaboration, cooperation and creativity; embrace differences and diversity in all aspects of their personal, professional and civic lives; and are dedicated to working together to help solve some of the world’s most intractable problems. In turn, the community will have “one-stop shopping” that will enhance current offices and related community activities.","The Department of Inclusion and Workforce Diversity was established in January 2000 to provide leadership to the Cornell community in the areas of equal opportunity, affirmative action and diversity. The office serves as a liaison to local community organizations that address the employment interests of individuals from traditionally underrepresented groups. https://www.hr.cornell.edu/about/wdi.html","In addition to the local organizations listed in E10, other connected groups include the Tompkins County Chamber of Commerce, Workforce New York, Tompkins County Human Services Coalition, Local Leaders of Color, area governments, the Village at Ithaca, and the Center for Transformative Action. http://www.centerfortransformativeaction.org","http://www.blackoakwindny.com
http://www.tccpi.org/Cornell_Solar_Project.html
http://www.tccpi.org/Success_Stories.html
http://sustainability.cornell.edu - See “News”",http://www.cornell.edu/engagement/,"http://www.acsf.cornell.edu/collaborations
http://sustainability.cornell.edu
http://ccetompkins.org/energy"
Creighton University,2016-02-24,2016-02-24 14:08:56,mjduda@creighton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Denison University,2016-02-15,2016-02-15 15:55:45,kingje@denison.edu,2.0,Pursuing,True,"Denison includes community stakeholders in nearly all of its planning processes from Campus Master Planning, to Strategic Planning, to the development of new courses, initiatives, and programs.

Denison participates in regularly scheduled joint communication meetings with the local school district, village officials, police, and fire.

Denison actively encourages faculty and staff to volunteer with local organizations, serve on leadership boards, and leverage Denison resources to better the community as a whole.","Denison continually looks for ways to identify and engage community stakeholders.  Below are some examples of this work:

Denison's Alford Center for Service Learning exists to support and collaborate with students, faculty, and staff as they actively engage in service and interact with people in our local Licking County community and beyond, through our partnerships with community-based organizations and with local schools as we work together to address community needs and issues. The Alford Center develops and sustains opportunities and projects with community partners while also advancing student learning and development through intentional, reflective service. Our community partners enhance student learning about relevant social issues, and through service, students have opportunities to learn about and engage in community and civic affairs in meaningful and substantive ways. 

","Local School Districts (Public and Private)
Project Main St.
Flying Colors
United Way
Food Pantry Network
St. Vincent DePaul 
Salvation Army
Newark Think Tank on Poverty
South Newark Civic Assocation
Ohio State Newark
COTC Newark
City of Newark
Village of Granville
City of Heath
Granville Township
Licking County Foundation
T.J. Evans Foundation
Granville Chamber of Commerce
Licking County Chamber of Commerce
Licking County Department of Health
YES Club
Licking County Libraries
Kendal at Granville
The Works
A Call to College
Multiple Faith Based Groups and Churches","The Alford Center held a workshop for local stakeholders to identify ways that Denison can better serve the community and organizations through service learning.

The Office of the President engaged many community stakeholder groups to identify ways that Denison can be a partner in economic growth and sustainable development.

Denison will be opening a community art space in Downtown Newark to help highlight the importance of art in community development.  This project was the result of multiple years of planning and discussion with a number of community stakeholder groups.",--,--
Dickinson College,2016-03-08,2016-03-08 10:06:54,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--,--,--,--
Drew University,2016-03-25,2016-03-25 16:12:53,swald@drew.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:18:18,tavey.mcdaniel@duke.edu,2.0,Pursuing,--,,,,,--,--
Earlham College,2016-03-03,2016-03-03 10:50:06,butchli@earlham.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:29,stoddardl@easternct.edu,2.0,Pursuing,True,"Since 1991 Eastern established a Town Gown Committee to address student related issues with the local community. In 2002 the Town Gown Committee embarked on it's first strategic planning process to develop a mission, vision, and long term goals. In 2002 the committee changed its name to Windham/Eastern Community Action Network (W/ECAN).

The Windham/Eastern Community Action Network, (W/E CAN) is a collaboration of residents of Windham, town government officials, University administration and faculty, students, community organizations, and other interested individuals who meet throughout the year to discuss issues of importance in the community and to work to develop positive relationships between the University and the community.
 
The campus also has a Center for Community Engagement who 
    Assist Eastern students in volunteer placements based on their schedules, interest, and reason for volunteering
    Work with faculty to incorporate service learning into their courses
    Provide Eastern students with training, orientation, and reflection activities to improve their skills and make them effective volunteers
    Empower students to be proactive and develop their own personal volunteer interest
    Assist campus clubs, student activities, and housing with implementing community engagement events and fundraisers. 
","Eastern identifies and engages community stakeholders including vulnerable and underrepresented groups as a collaborative process. Through the Center for Community engagement, the Office of Equity and Diversity, Student Governance Association and student organizations, Eastern constantly seeks to enhance the relationships between those on campus and within the community.  

Community engagement is also embedded within Eastern's current strategic plan: http://www1.easternct.edu/president/files/2014/07/StratPlan6-3-2013.pdf","CT Forest and Park Assoc.
Eastern, Campus Ministry (Blood Drives)
American Red Cross
Windham Public Schools
Windham Area Interfaith Ministry
Windham Area Interfaith Ministry
Windham Area Interfaith Ministry
Windham Area Interfaith Ministry
Windham Area Interfaith Ministry
Windham Public Schools
Windham Public Schools
North Windham Elementary School
North Windham Elementary School
North Windham Elementary School
Windham Middle School
Windham Middle School
Sweeney Elementary School
Windham Center Elementary
Natchaug Elementary Elementary
North Windham Elementary School
Charles B. Barrows STEM Academy
Windham High School
Natchaug Elementary School
Windham Middle School
North Windham Elementary School
Windham Center Elementary School
Sweeney Elementary School
Charles Barrows STEM Academy
Windham High School 
United Way of Central and Northeastern Connecticut 
The Village for Families & Children, Inc. 
Jumpstart
Journey House
St. Joseph's Living Center
Vanderman Place
Vanderman Place
Windham Region No Freeze Hospitality Center
Windham Region No Freeze Hospitality Center
Eastern AHEC
Eastern AHEC
Eastern AHEC
Windham Recovery Community Center
Windham Recovery Community Center
Brooklyn Correctional Instititution
Petey Green Tutorial Prison Tutorial Program 
Tri County ARC
Tri County ARC
Joshua's Trust
GROW Windham
GROW Windham
Willimantic Food Co-op
Mansfield Parks & Recreation
Eastbrook Mall
CLiCK
Bailey's Garden
Covenant Soup Kitchen
Covenant Soup Kitchen
Covenant Soup Kitchen
First Congregational Church of Willimantic
4-H Health Hands Program
Scotland Elementary School
Scotland Elementary School
Windham Regional Community Council
Connecticut Eastern Railroad Museum
Mill Museum
Beckish Senior Center
Special Olympics Swim Meet
",,http://www1.easternct.edu/cce/cce-media-stories-community-engagement-in-action/,"The information for this section was completed using information available from the Center for Community Education website, and the Town Gown Committee website. Information was entered by Laura Miller. A list of community stakeholders was also provided by Kim Silcox at the Center for Community Engagement. 

http://www1.easternct.edu/towngown/about/"
Elon University,2016-01-14,2016-01-14 09:33:00,edurr@elon.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Emory University,2016-02-29,2016-02-29 16:26:45,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--,--,"Please see Theme 3 on page 7 of the Strategic Plan document (Creating Community – Engaging Society).
www.cliftoncommunitypartnership.org
www.cctma.org

Emory Center for Community Partnerships: 
http://cfcp.emory.edu/

CFCP’s Engaged Learning Projects and Programs: http://cfcp.emory.edu/our_work/engaged_learning/index.html 

CFCP’s Community Engagement Strategies:
http://cfcp.emory.edu/about_oucp/strategies.html 
"
Endicott College,2016-03-01,2016-03-01 10:10:15,screight@endicott.edu,2.0,Pursuing,--,,,,,--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:29,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--,--,--
Fort Lewis College,2016-03-27,2016-03-27 16:01:20,kehilimire@fortlewis.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Furman University,2016-02-22,2016-02-22 13:43:14,yancey.fouche@furman.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
George Washington University,2016-02-29,2016-02-29 13:04:36,shannonross@gwu.edu,2.0,Pursuing,True,"The 2007 Foggy Bottom Campus Plan (Zoning Commission for the District of Columbia Zoning Commission Order NO 06-11/06-02) requires that the University shall work with community representatives to form an Advisory Committee for the purpose of fostering consistent communication between the University and the Foggy Bottom and West End communities, discussing issues of mutual interests and proposing solutions to problems that exist or arise in implementing the approved Foggy Bottom Campus Plan. Development sites called for under this plan are presented to the Advisory Committee in advance of public presentations to community stakeholders outlined below. 

The 2010 Mount Vernon Campus Plan (Zoning Commission for the District of Columbia Zoning Commission Order 09-19) requires the university to maintain a community liaison program consisting of representatives of the University, Advisory Neighborhood Commission 3D, and the neighborhood. 
","GW endeavors to include and engage community stakeholders in a variety of regular meetings, events, and communications. All the activities listed below are publically noted and open to the public. This entails posting ads in local newspapers as well as online, sending e-mail invitations to community listservs, hosting the meeting after normal business hours and on weekends to ensure greater community availability, and hosting the meeting in open access buildings (no ID required) that are near public transportation.

• Campaign GW Presentations to Faculty, Staff, Students, and Alumni several times a year. Campaign GW is the student arm of the Division of Operations (the department on campus responsible for construction, campus planning, facilities management, etc.), which presents information to university stakeholders on campus development projects. Attendees have an opportunity to ask questions about construction on campus, the two university campus plans, and sign-up for monthly updates to receive more information. 
• Mount Vernon Campus Plan Quarterly Meetings hosted by GW (4 times a year) where university officials meet quarterly with community members to discuss and respond to issues of concern ranging from student behavior, to sporting events, to campus development. Often issues are raised at one meeting and the university works to resolve these issues before the next quarterly meeting. 
• Foggy Bottom Campus Plan Advisory Committee Meetings hosted by GW (4 times a year) where university officials meet quarterly with community members to discuss and respond to issues of concern ranging from student behavior, to sporting events, to campus development. Often issues are raised at one meeting and the university works to resolve these issues before the next quarterly meeting.
• Monthly FRIENDS Meetings/Community Events hosted by GW. FRIENDS is the name GW assigned its community engagement group in which attendees meet monthly to discuss concerns with the university and learn about engagement opportunities like speakers, course auditing, and sporting events. 
• Monthly Advisory Neighborhood Commission (ANCs) Meeting Attendance by GW Staff. ANCs are the hyper-local governing bodies of neighborhoods in DC consisting of elected “Commissioners” that meet monthly to discuss regulatory matters and community concerns. University staff attend to present on matters that the ANC has purview over and also attend to stay abreast of broader community concerns unrelated to the university. This is often a good time to meet with city administrators and other elected officials to share information about what GW is doing in the community. 
• Quarterly Foggy Bottom Association (FBA) and Bi-Annual West End Citizens Association (WECA) Meeting Attendance by GW Staff. The FBA and WECA are the two civic associations that include the GW Foggy Bottom campus, and university staff attend their meetings to hear and respond to concerns related to the university as well as other community related news. Attendees at these civic association meetings don’t always attend ANC and other GW hosted meetings so it’s important to attend to hear from other members of the community. 
• Monthly Advertisements in DC Current Newspapers (delivered to 32,000 households in Northwest Washington, DC). 
• Bi-Annual Mailings to zip code 20037 (nearly 9,000 households) that include news stories related to the universities community engagement. 
• Large-Scale community invents including a fall “Block Party”, winter “Holiday Social” and “Spring BBQ” where neighbors are invited to the university for an afternoon of fun that allows them to engage with university staff, students, and faculty in an informal setting.","Students, Faculty, Staff and Alumni of GWU
Advisory Neighborhood Commissions (ANC) 2A and 3D
DC City Council 
West End Citizens Association (WECA)
Foggy Bottom Association (FBA)
FRIENDs Group
Local Churches including St. Mary’s Church, St. Patrick’s Episcopal Day School, Western Presbyterian, the United Church, and St. Paul’s Parish 
Local Government/NGOs including World Bank, International Monetary Fund (IMF), and State Department
Local Institutions including Kennedy Center, GWU Hospital and United Health Services Inc. 
ONE DC","GW Museum and the Textile Museum – June 25, 2012; Zoning Commission Approval 4-0-1
Square 75 – February 25, 2013; Zoning Commission Approval 5-0-0 and subsequent City Council Alley Closing Unanimous Approval 
Square 77 – July 25, 2013; Zoning Commission Approval 5-0-0 and subsequent City Council Alley Closing Unanimous Approval 
",http://neighborhood.gwu.edu/,"http://neighborhood.gwu.edu/sites/neighborhood.gwu.edu/files/downloads/2007%20Foggy%20Bottom%20Campus%20Plan%20Order%20of%20Approval_0.pdf

http://neighborhood.gwu.edu/files/downloads/2010%20Mount%20Vernon%20Campus%20Plan%20Order%20of%20Approval.pdf"
Georgia College & State University,2016-03-25,2016-03-25 19:10:16,doug.oetter@gcsu.edu,2.0,Pursuing,True,"At Georgia College, students and faculty are encouraged to partner with community groups to address mutually identified needs and to promote public well-being through teaching, learning, scholarship, and outreach. ENGAGE offers workshops, grants, support for conference travel and opportunities to network with community partners.","Stage 01:
> Vision planning
> Develop potential themes

Stage 02:
> Collect and review stakeholder feedback
> Make theme recommendations to University President

Stage 03:
> Collect and review stakeholder feedback
> Refine topic and establish goals

Stage 04:
> Research best practices
> Develop learning outcomes and assessment strategy Implementation Planning

Stage 05:
> Collect and review stakeholder feedback
> Develop implementation plan (budget, activities & timeline)
> Draft Plan for submission","Baldwin Family Connections
A collaboration of community partners seeking to plan and implement strategies so that families, children and youth in Baldwin County are becoming healthy, well-educated, safe and self-sufficient. (http://baldwin.gafcp.org)

Communities in Schools
Works to keep children in school so that they can learn, grow and prepare for college, for a career and for life. (http://milledgeville.communitiesinschools.org)

Campus Club Milledgeville (CCM)
Delivers arts-based education programming to in-school youth aged 7 to 18 in middle Georgia. CCM also provides adult education and artistic training to families looking for a rewarding educational and cultural experience.
(http://campusclubmilledgeville.org)

Volunteer Milledgeville
Supports the needs of non-profit groups in our community, but focuses primarily on those who rely on volunteers. Their website includes a current, working list of all non-profit groups, their mission, needs and contact information. There will be a calendar
of events that will enable the community to see volunteer opportunities. (http://volunteermilledgeville.org)

Oconee Suicide Prevention Coalition
Supports a variety of suicide prevention services throughout Georgia. Originally focused on developing coalitions within public health districts, the coalition building initiative has moved to supporting coalitions within communities and smaller regions to better focus services and involve citizens. (http://oconeesuicidepreventioncoalition.org)

Boys and Girls Club
Enables young people to reach their full potential as productive, caring, responsible citizens. (http://boysgirlsclubbaldwinjones.org)

Milledgeville Cares
Provides a means whereby service agencies, as well as faithbased institutions, can efficiently work together providing basic necessities, emotional support and information sessions, as needed, in a time of challenge and opportunity. (www.milledgevillecares.com)

Habitat for Humanity
Provides opportunities for families by partnering with them to build decent, affordable housing and improving the quality of life of Habitat's partner families, the neighborhoods in which they live and the community as a whole.
(www.milledgevillehabitat.org)

Harrisburg Neighborhood Association
Supports citizens in Harrisburg, a neighborhood in South Milledgeville, by providing safe activities for children and adults including afterschool programs and a community garden.

Oconee Area Citizen Advocacy
Facilitates connecting community members with people whose lives are diminished because of prejudice toward disability. (http://oconeeareacitizenadvocacy.org)
","Valerie Aranda, Art and Dr. Sandra Godwin, Sociology, coteach a course entitled ""Art & Social Justice."" This upperlevel course explores social theories of empowerment and
community life and the way the visual arts, especially public murals, convey citizens’ history, values and aspirations. Pre and post-course surveys relative to engaged scholarship and ongoing reflective writing and discussion provide for student
dialogue about their learning. This year, students in the class are working with a neighborhood where residents are revitalizing their community with a neighborhood garden, fitness trails and community center programs. The students will collaborate with citizens to design and paint a mural. Dr. Godwin says, ""I am really excited about this course, especially since this year we have the opportunity to be a pilot course for the Quality Enhancement Plan. This semester, compared to the previous times we have taught the course, we will more formally assess students' learning as a result of their collaboration with community members on a mural project.”

Students in Dr. Jan Clark's Rhetoric practicum course have hosted community-wide viewings on front campus of the televised national presidential candidate debates since 2004, created a Baldwin County Voter's Directory of all elected and appointed city, county, state and national representatives and conducted voter education and registration presentations in classes as well as community locations. Dr. Clark says, ""The experiences they get through this class make our students so well equipped to serve their future communities as informed citizen advocates.""

Gregg Kaufman, Government & Sociology, an adjunct faculty member, teaches a core curriculum GC1Y Critical Thinking 1000 course called Public Deliberation. The course is
designed to help students explore the role of citizen involvement in community problem solving. Students learn neutral facilitation skills as well as how to research, design,
produce and use an issue book for facilitation based on a National Issues Forum model for deliberative forums. “I marvel at the positive comments students make after
facilitating a forum in the community. Students return to class with confidence in their ability to help citizens work through complex issues. They leave the course with practical skills and an understanding of the capacity for citizens' political activity,” said Kaufman.",https://engageatgc.wordpress.com/resources/quality-enhancement-plan/,--
Gonzaga University,2016-02-29,2016-02-29 13:09:30,simonj@gonzaga.edu,2.0,Pursuing,--,,,,,--,--
Green Mountain College,2016-03-21,2016-03-21 15:55:37,ihrker@greenmtn.edu,2.0,Pursuing,True,"When Green Mountain College engages in a planning and development effort or capital investment project that will significantly impact members of the local community, business owners, or municipal governments, the College will call together a special advisory committee to discuss impacts and decide on a plan for sharing information to the wider community. 

Significant impact is defined as any number of the following:

•	Building a structure that can be easily viewed by multiple homes or businesses from off campus
•	Building a structure or system that increases traffic, water use, or other comparable public systems by more than 25% of current levels
•	Building a structure or system that will exceed one million dollars in cost
•	Implementing a plan that will significantly increase or decrease the number of jobs offered by the College or another business in town (a threshold of 10 jobs will be considered significant)
","The Special Advisory Committee will be called together by the GMC Cabinet prior to the College formally committing to the project. Cabinet will do its best to identify a representative group of community stakeholders, including stakeholders from underrepresented populations. The Committee will meet at least once with at least one member of Cabinet, but as many times as Cabinet deems necessary. 
The Committee will serve the following purposes:
•	Listen to the project proposal
•	Offer feedback on how the proposed project may impact the community positively and/or negatively
•	Help the College decide if the broader community needs to be informed and/or consulted based on how likely it is that the project will affect the community significantly
•	 If deemed necessary, help the College identify an appropriate mechanism for informing and garnering input from the broader community, whether that be through a public meeting, a newsletter such as front porch forum, a website, or a mailing. 
•	Help the College navigate necessary laws, regulations, or permits. 

Following the meeting(s) with the Special Advisory Committee, the College will inform/consult the broader public through the agreed upon mechanism if the Committee deemed it necessary to do so. Input from the Special Advisory Committee and/or the broader community will be considered in the decision of whether or not to move forward with the project and under what circumstances. 
","The Special Advisory Committee may consist of members such as:
•	The Town Manager of Poultney
•	A member of the PDRC (Poultney Downtown Revitalization Committee) chosen by the PDRC
•	An owner of a local business chosen by the Poultney Chamber of Commerce
•	A citizen of Poultney, or surrounding towns, who is not formally affiliated with any of the other organizations represented on the advisory committee (this person could be chosen by a GMC staff member who has a close working relationship with underrepresented populations in the community). 
","The protocol for community stakeholder engagement was only recently implemented, but Green Mountain College has a long, rich history of deep engagement with the community. For example, since 2013, the College has been leading an effort called Poultney 2020, a town-wide community building process aimed at building the vibrancy of the Town. As part of this effort, the College frequently hosts planning meetings to gather the people working on the project. Another example includes the community conversations that the College holds at least once a year. For the last two years, the public has been invited to these meetings, where the College's goals and progress toward those goals were discussed. More community conversations are being planned for the 2014-2015 academic year. ",http://sustainability.greenmtn.edu/living_learning/beyond_classroom/outreach.aspx,--
Guilford College,2016-03-08,2016-03-08 08:08:45,corrybc@guilford.edu,2.0,Pursuing,True,"Open forums held by the President's Office are regularly scheduled. All members of the community are encouraged to attend. The subject matter of these forums are typically financial in nature, but they are available forums for other discussions. Open office hours for each member of the President's cabinet are posted weekly as is the Presidents.",We have an inclusive community process where all stakeholders are encouraged to participate and be heard.,"Faculty, staff, students, alums and contracted employees.",,--,--
Hampshire College,2016-03-23,2016-03-23 09:59:36,bhooker@hampshire.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Harvard University,2016-02-29,2016-02-29 16:59:11,colin_durrant@harvard.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Haverford College,2016-03-02,2016-03-02 12:02:17,ckent@haverford.edu,2.0,In Progress,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:56,sustainability@hws.edu,2.0,In Progress,--,--,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:54,caroline.savage@indstate.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
